sx,sy,ex,ey
0,0,906,138
0,134,21,385
0,434,21,498
0,477,906,482
0,473,906,499
885,0,906,518
659,447,717,482
752,404,786,462
812,450,858,480
804,223,868,300
824,300,848,334
807,328,868,343
787,126,798,193
827,131,838,192
688,128,700,194
736,126,744,194
601,130,644,174
552,144,585,179
556,194,584,226
481,138,489,165
488,134,522,152
514,152,528,167
363,131,400,152
359,151,368,170
388,147,404,169
220,145,259,185
81,135,110,174
172,135,199,173
170,194,204,227
23,145,68,171
22,194,71,217
124,254,206,285
270,398,348,424
370,354,390,416
424,354,444,417
386,373,422,457
457,417,543,444
669,225,720,267
669,262,720,331
