sx,sy,ex,ey
0,0,906,146
0,138,20,238
0,336,20,498
0,469.6000003814697,906,499.6000003814697
73,452.6000003814697,356,494.6000003814697
840,390.6000003814697,906,490.6000003814697
888,0,906,486.6000003814697
841,147.60000038146973,880,166.60000038146973
703,145.60000038146973,778,209.60000038146973
598,144.60000038146973,646,183.60000038146973
309,144.60000038146973,355,185.60000038146973
126,146.60000038146973,249,174.60000038146973
40,143.60000038146973,99,165.60000038146973
379,146.60000038146973,577,272.6000003814697
